DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112030,EXPQNT,2024,4544937
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112030,EXPVAL,2024,130121
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112030,IMPQNT,2024,8244744
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112030,IMPVAL,2024,1216568
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112030,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112050,EXPQNT,2024,838025447
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112050,EXPVAL,2024,6998883
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112050,IMPQNT,2024,1591321
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112050,IMPVAL,2024,434787
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112050,PRODQNT,2024,14194984000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112050,PRODVAL,2024,228671327
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08112050,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113010,EXPQNT,2024,38745294
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113010,EXPVAL,2024,4903164
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113010,IMPQNT,2024,77395120
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113010,IMPVAL,2024,5265604
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113010,PRODQNT,2024,2752462000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113010,PRODVAL,2024,96141716
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113010,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113030,EXPQNT,2024,57213964
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113030,EXPVAL,2024,6337951
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113030,IMPQNT,2024,248442578
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113030,IMPVAL,2024,10780571
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113030,PRODQNT,2024,3041718000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113030,PRODVAL,2024,73845975
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08113030,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08114000,EXPQNT,2024,9372507
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08114000,EXPVAL,2024,912584
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08114000,IMPQNT,2024,799664
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08114000,IMPVAL,2024,519493
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08114000,PRODVAL,2024,23858749
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08114000,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121150,EXPQNT,2024,228497145
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121150,EXPVAL,2024,16583734
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121150,IMPQNT,2024,51617093
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121150,IMPVAL,2024,10901886
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121150,PRODQNT,2024,6836106000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08121150,PRODVAL,2024,97662688
